candidate,best_label,score,total_docs,share_best,count_UP,count_DOWN,count_NEUTRAL
不知道,DOWN,357.7317,737,0.585,146,431,160
也没,DOWN,273.8353,561,0.599,114,336,111
，他,DOWN,267.06,534,0.609,133,325,76
不想,DOWN,243.6691,512,0.596,138,305,69
么办,DOWN,235.4932,395,0.681,49,269,77
怎么办,DOWN,229.4604,379,0.689,45,261,73
不好,DOWN,226.4833,444,0.624,91,277,76
我说,DOWN,208.524,429,0.611,102,262,65
父母,DOWN,207.911,318,0.726,62,231,25
了，我,DOWN,207.8655,363,0.672,66,244,53
都没,DOWN,203.8056,449,0.588,83,264,102
我真,DOWN,195.1928,423,0.596,105,252,66
家里,DOWN,187.1096,388,0.613,86,238,64
说我,DOWN,183.0938,363,0.631,83,229,51
，现在,DOWN,170.5489,383,0.59,95,226,62
，说,DOWN,169.7323,334,0.638,52,213,69
我真的,DOWN,156.6006,320,0.628,72,201,47
家庭,DOWN,152.5149,292,0.654,72,191,29
跟我,DOWN,144.3829,320,0.603,88,193,39
我自,DOWN,141.5844,273,0.656,60,179,34
？我,DOWN,138.0317,305,0.607,67,185,53
男朋,DOWN,136.9352,296,0.615,67,182,47
男朋友,DOWN,136.9352,296,0.615,67,182,47
我没,DOWN,136.0393,235,0.702,39,165,31
钱，,DOWN,131.482,256,0.656,58,168,30
吧，,DOWN,124.468,298,0.584,65,174,59
我自己,DOWN,123.6301,245,0.653,57,160,28
我只,DOWN,119.2201,237,0.654,51,155,31
说了,DOWN,111.713,233,0.639,45,149,39
爸妈,DOWN,111.0466,205,0.688,49,141,15
是没,DOWN,103.6636,247,0.595,59,147,41
该怎,DOWN,100.3984,201,0.662,27,133,41
结婚,DOWN,99.1358,193,0.674,32,130,31
也没有,DOWN,98.7544,245,0.584,52,143,50
电话,DOWN,98.317,238,0.592,50,141,47
给他,DOWN,98.0286,192,0.672,39,129,24
该怎么,DOWN,97.9028,196,0.663,27,130,39
是想,DOWN,96.8268,226,0.606,51,137,38
可是,DOWN,95.7896,229,0.598,56,137,36
要不,DOWN,95.7551,217,0.618,44,134,39
的，我,DOWN,90.8932,195,0.641,32,125,38
，他们,DOWN,90.6558,188,0.654,47,123,18
我爸,DOWN,90.2585,140,0.779,15,109,16
说不,DOWN,90.1626,221,0.593,46,131,44
不起,DOWN,89.755,214,0.603,52,129,33
我妈,DOWN,87.3256,174,0.672,31,117,26
崩溃,DOWN,84.7227,155,0.71,28,110,17
，我也,DOWN,84.478,201,0.607,49,122,30
我现在,DOWN,83.5196,180,0.644,38,116,26
己，,DOWN,83.4668,204,0.598,59,122,23
我现,DOWN,83.1462,181,0.641,39,116,26
办法,DOWN,83.0987,201,0.602,51,121,29
自己，,DOWN,82.4327,203,0.596,59,121,23
说话,DOWN,80.9812,191,0.613,36,117,38
